index,lower_description
75,"since 1939, growth and change have been the two constants at schnucks. as our customers change, we change to meet their needs. as the neighborhoods we serve grow, we grow with them. schnucks is a progressive, family-owned supermarket retailer with 100 stores in missouri, illinois, indiana, iowa and wisconsin – all managed from our corporate headquarters in st. louis. conduct deep analysis evaluating strategic effectiveness around sales, gross profit, til, customers, and baskets. develop and share analytics and best practices across entire analyst team. centralize, standardize, and automate key analytics functions currently spread across multiple teammates. report findings and work with business stakeholders to recommend actions. develop predictive modeling in support of business optimization. minimum education: master’s degree. will accept bachelor’s degree in mathematics/statistics plus equivalent experience. minimum years of experience: 3 to 5 years. google suite and microsoft office, with advanced microsoft excel. working knowledge of sql. working knowledge of web-focus bi, nitro nielsen, alteryx, tableaut tools a plus. statistical software proficiency required; r, python, matlab, sas, spss, etc. with demonstrated success. functional knowledge of unstructured data sets, including how to access and consume. certification or equivalent experience in analytic methodology e.g. six sigma. ability to handle large amounts of data, identify key information, and provide insightful recommendations to all levels within the organization with minimal direction. ability to communicate to all audiences including strategy team, form strong partnerships, and powerfully convey their recommendations in order to gain action on their insights. strong organizational skills, the ability to multi-task in a dynamic environment, and must keep a high level of composure and professionalism in all situations. strong critical thinking skills with the ability to think outside the box. advanced analytical skills and techniques, including deep statistical knowledge, big data knowledge, visualization, and data exploration. walking, standing less than ½ day lifting, travel, work environment, schnucks is an equal opportunity employer."
76,"at abbott, we're committed to helping people live their best possible life through the power of health. for more than 125 years, we've brought new products and technologies to the world - in nutrition, diagnostics, medical devices and branded generic pharmaceuticals - that create more possibilities for more people at all stages of life. today, 99,000 of us are working to help people live not just longer, but better, in the more than 150 countries we serve. primary job function:, this position is responsible for developing and testing prognostic predictive health monitoring algorithms as well as leveraging any proactive evidence from instrument real time errors. analyze instrument data &amp; performance for service area in fluidics; optics; robotics; transport; software forts and assays. identify and analyze early warning indicators or shifts in product performance to align with predictive algorithms. major responsibilities include working with cfts to identify key problem areas for diagnostic analyzers; designing and testing predictive algorithms using historical data and rigorous statistical methodology; and effectively communicating the results of these efforts to cfts and the end-user. works with r&amp;d engineering and tpd to identify potential indicators in add’s next generation of diagnostic analyzers for prognostic predictive health monitoring. develops scripts using python; sql or r to collect indicator data from test beds and analyzers for use in developing prognostic predictive algorithms. translates algorithms received from r&amp;d quality engineering into the global service tool set pom; apollo supports the continued development and advancement of the phm program/ strategy though fruitful collaborations with other organizations within abbott diagnostics. core job responsibilities:, responsible for implementing and maintaining the effectiveness of the quality system. communicates with service professionals; smes; and quality engineers to identify key problem areas and target potential algorithms designs; evaluates and optimizes algorithms using historical data. summarizes algorithm specificity; sensitivity and remaining useful life rul; communicates to key stakeholders. produces comprehensive technical design documents; these will be the core documents that provide the basis for km articles. facilitates collaborative investigations with service personnel to validate algorithms and conduct real-world tests communicates with both management and the end user effectively and clearly. development of tools for front line to improve support for customers; coauthoring of knowledge management km articles for inclusion in active sense technologies km tool. communication with internal and external customers, position accountability / scope:, this position is part of the global service technical operations team. the position supports the transformation to a proactive and predictive service model. sphere of influence: member of cross-functional teams which include highly technical professionals and individuals within r&amp;d; global technical; smart centres; call centres; front line smes &amp; service marketing; guiding them to provide key information to support proactive &amp; predictive data. exhibits high level of integrity; honesty; keeping commitments and presenting information completely and accurately to both internal and external customers. financial: accountable for actions that have a direct impact on area sales and service costs. considers financial implications as part of decision making. provides action plans to reduce cost of service. product scope: scope includes add manufactured products decision making; makes timely technical; operational and business decisions with high risk or consequences to the business. individual must be able to identify and drive resolution of issues; be accountable for defined action plans. customer relationships: individual must be extremely responsive to the needs of the country service organization and the needs of the business. accountable for providing a level of service that is perceived by our customers to be the best in the industry. minimum education:, bachelor’s degree or equivalent qualification or experience required. bachelor’s / engineering degree in medical / electrical / mechanical or medical technology is preferred. ms in bioinformatics; statistics; or equivalent would be most desirable. minimum experience / training required:, four years of sql programming, experience working with diagnostic instrumentation. skills desired:, expertise or experience in statistics and signal processing -expertise or experience in object-oriented, analytical programming e.g. r, python, matlab -comfortable with sql, odbc query logic or equivalent -adept with machine learning algorithms, well organized and have basic knowledge of abbott products. manage changing or shifting priorities. ·clearly articulate thoughts and ideas to external and internal customers. ·responsive to questions;, issues; and needs in a timely manner. strong written and verbal communication skills confident presentation skills, ·drive for results ·work effectively with cross-functional teams, requires good judgment; planning and organizational skills high work standards; energy; initiative; flexibility; decisiveness; and proven problem-solving skills"
77,"design, benchmark, and apply bioinformatics software to enable analysis and interpretation of genomic and metagenomic data for jgi’s user community. support ongoing user science, csp, and ficus projects through requests for advanced analyses in line with the program’s strategic objectives and goals. work in a high-performance computing environment and interact with a team of computer scientists, software developers and postdoctoral researchers to develop new methods and tools for large-scale metagenome data analysis. present updates at group meetings and contribute to the preparation of scientific publications describing new computational approaches and methods. gather feedback and requirements to develop software for the organization and handling of metagenomic data and automation of analytical procedures to deploy in a production setting. support the development of visualization tools and/or user interface for navigation and data comparisons across thousands of genomic and metagenomic samples. bachelor's degree in bioinformatics, computational biology, computer science, or related field with a minimum of five years of work experience, or an equivalent combination of education and experience. advanced degree ms / ph.d. preferred. demonstrated expertise processing large volumes of data, genome and metagenome data analysis, and comparative metagenomics. able to program in python, perl, java, and read/decipher c/c++ familiar with advanced unix utilities and shell programming familiar with existing bioinformatics databases, tools and best practices experience and skill in preparing research publications. ability to troubleshoot complex systems and data analysis problems. ability to contribute to the development of multiple projects/pipelines understanding of standard sequencing analysis methods assembly, gene calling, functional annotation. strong problem-solving, decision-making, and analytical skills to make sound judgments and recommend creative solutions to moderately complex problems. strong interpersonal skills with the ability work independently and as a team member in a diverse team environment. ability to organize and present reports to collaborators, jgi staff, management, and sponsors. good knowledge of tools for microbial ecology studies. experience in or familiarity with statistical analysis is desired. this is a full time, 1 year, term appointment with the possibility of extension or conversion to career appointment based upon satisfactory job performance, continuing availability of funds and ongoing operational needs. full-time, m-f, exempt monthly paid from overtime pay. salary is commensurate with experience. this position may be subject to a background check. any convictions will be evaluated to determine if they directly relate to the responsibilities and requirements of the position. having a conviction history will not automatically disqualify an applicant from being considered for employment. work will be primarily performed at doe joint genome institute jgi — 2800 mitchell dr. walnut creek, ca. this is a full time, 1 year, term appointment with the possibility of extension or conversion to career appointment based upon satisfactory job performance, continuing availability of funds and ongoing operational needs."
78,"not just another start-up, we fight fraud!, at shift technology we are proud to have a purpose: to help insurers weed out claims corruption. our saas solution, which leverages big data and ai, has been used to unravel fraud networks across asia, europe, and the americas. if you are someone motivated by meaningful work, shift technology may just be the spot for you!, your day-to-day, at shift technology, we are constantly looking for new ways to innovate. fraud landscapes are in constant motion and in order to ensure our detection methods are always one step ahead, our data scientists must be too. shift technology data scientists are the central productive force of the company. they design the models, construct the features, implement the rules, and optimize the algorithms that are used throughout the data processing pipeline. they face two main challenges: messy and often incomplete data paired with complex and ever-evolving problems. the data we collect comes in all shapes and sizes and is not, for the most part, quantitative. insurance claims data typically includes date, location, circumstantial details, damage descriptions, and involved parties. with that wide array of information, our data scientists must be comfortable with a variety of specific approaches: unsupervised anomaly detection, temporal sequences analysis, semantic network analysis … as for the solution, our data scientists must be able to produce predictions justified with intelligible explanations, even when very little data is available. our data scientists have the exciting mission of designing and implementing models that replicate and enhance real-world fraud handling deduction patterns. they are tasked with optimizing the algorithms involved in the data processing pipeline and making adjustments as fraud scenarios mature and evolve. after a few short months of joining our data scientist team you will be able to:, understand insurance data and fraud mechanisms; create the associated mathematical models; implement, test and optimize the associated algorithms; participate in workshops with the clients to gather feedback and integrate it to the models; continuously provide ideas to improve the solution. your toolkit, on the job you will be asked to code in c# so programming experience is a big advantage, but not essential if you are willing to learn fast!, your profile, shift technology’s data science department is filled with top performers who are committed to technical excellence, inspired by challenging projects, and always on the look-out for new learning opportunities. if the following qualities ring true, you would fit right in at shift technology:, you have advanced technical skills in applied mathematics, preferably in machine learning and/or operations research; you combine strong analysis with synthesis abilities and are not afraid to deal with the details; you can write quality production code; you don't mind meeting with clients to discuss their needs and integrate their feedback in your projects; you are bilingual in english !"
79,"the customer operations strategy &amp; data analytics group is a part of the larger customer operations organization which also includes revenue operations, customer billing and the customer contact centers. our group is responsible for developing and delivering data and analyses that enable customer operations to deliver critical business to provide an exceptional customer experience. job description/responsibilities, provide senior leadership with metrics and insights based on detailed analysis of emerging trends, business performance and key metrics. responsible for complex analysis of business problems. partner with internal business customers to develop analyses that lead to actionable insights. contribute to presentations for senior management. build analytical tools, user friendly reports and ad-hoc analyses to support and enable our operational teams. develop strong knowledge of business processes across our organization in order to provide relevant insights and recommendations to the team. understand business goals and develop analytical solutions to support operational performance reviews and decision making. combine data from multiple sources sql databases, excel files, flat files, etc. into integrated views that can be used to drive analysis and summarized crisply for executive decision making. propose robust solutions to improve processes and proactively drive opportunities to resolution, both operations &amp; data architectures. requirements/qualifications, a bachelor’s degree in an applicable field. the following experience / skills may set you apart from others:, extensive experience in tableau, microsoft sql and vba, a bachelor’s degree in mathematics, accounting, it, engineering or related field. a masters or other advanced degree, ideally in an analytics, mathematics, it, or business area, business analytics and optimization experience with sources for support, lean/six sigma certification, energy industry background that includes a working knowledge of effectively mapping technology-to- –business challenges, extensive experience in excel, powerpoint, access, sap business intelligence and sap business objects, essential functions:, business support advisors and consultants support the planning, business analysis, general management, budget preparations and analysis, negotiations, transactions, customer services and auditing of a wide variety of business functions and processes of specific operating and support areas throughout the company. duties and who this individual reports to will fluctuate between projects, departments and offices. lead and/or assist with business analysis and support for the plans, reports, impacts, contracts, schedules, estimates, data collection, observations, and field investigations. provide business analysis and support services with accuracy, on time and under budget. use computer assisted applications software and equipment to prepare business analysis support documents. understand and follow company established standard procedures for file structure and standard procedures for projects. become familiar with business and department and company plans and related material for each project and be able to utilize the information appropriately. assists in client contact and communication. utilize effective communication skills to answer inquiries from coworkers, clients, or the public. public involvement may include producing reports, graphics, presentations, and other visual material as well as occasional speaking or meeting with stakeholders. attend internal and external meetings. provide business analysis and support services in a legal and ethical manner. hours and travel:, this position requires the individual work 40 hours per week with 90% of time spent in the office or specific field locations. this position may require the ability to travel between field locations. this position may include nights and weekend/holiday timeframes. physical demands:, the physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. while performing the duties of this job, the employee is regularly required to sit; stand; walk; and stoop, kneel, crouch, or crawl; use hands to finger, handle, or feel objects, tools, or controls; and reach with hands and arms. the employee frequently is required to talk or hear. the employee will be using a computer and the associated keyboard and mouse. the employee must frequently lift and move up to ten pounds and occasionally lift and move up to seventy-five pounds. specific vision abilities required by this job include close vision, color vision, depth perception, and the ability to adjust focus. the work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. the noise level in the work environment is usually moderate. the noise level on the construction site is often loud. internal employee applicants must be in his/her current position for a minimum of twelve months to be eligible for this vacancy, unless otherwise approved by his/her officer."
80,"villagecaremax is seeking a data analyst for a full-time in house position. the qualified candidate will provide analytical support across business functions including, but not limited to, care management, utilization management, quality, business operations, compliance, and claims. the position is an integral part of analytics team, competent to work with various teams and capable of independently carrying out all essential data related tasks:, compiles, analyzes and interprets varied and complex healthcare, clinical and utilization data for analytics department, supporting across business functions including, but not limited to, care management, utilization management, quality, business operations, compliance, and claims, develops and maintains customized reports and dashboards for various departments using various tools sql, access, excel, bi tools, etc. ability to run complex queries, manipulates, transform, and generate reports using sql, ms access, ms excel, and bi tools, works with villagecare it department in automation of information through dashboard development to track or monitor metrics or data, subsequent to analysis, including validation and testing. participates in the design and development of dashboards that will automate the collection or analyzing of data, works closely with all levels of business users to clearly define reporting requirements in support of strategic decision making. this includes standard reports, ad-hoc analysis, dashboards, and scorecards, utilizes various software tools and identify the best format to present and communicate data to provide clear, concise and easy–to-understand information, performs other duties and responsibilities as assigned, requirements:, bachelor's degree in computer science, mathematics, statistics, engineering or other relevant field required. having a master's degree in a related field is highly preferred. 3-5 experience in business intelligence and analytics performing increasingly complex data analysis and report/dashboard development, preferably in a health care setting"
81,"job purpose, the position is part of the applied research &amp; development team, supporting the pricing and analytics business. the primary responsibility for this role within the organization will be to contribute to r&amp;d projects associated with the creation or validation of new product development initiatives and to support the model development of ice liquidity indicators. the ideal candidate will have an extensive knowledge of statistics and quantitative finance, with a particular focus on their application to fixed income markets. experience in a programming language python, java, c++, or r is another key consideration. the candidate must also possess the ability to respond to time-critical inquiries from management and must be able to engage with market participants on various aspects of our models and applicability of the service to suit their business needs. the flexibility to adapt to changing requirements is also essential. duties and responsibilities, collaborating with a team of skilled quantitative analysts and data scientists supporting our business development efforts with an exciting new set of products and services apply statistical and machine learning models to develop practical solutions supporting the financial marketplace gather data from various sources sql, oracle or csv files and develop models using statistical packages found in r, python or excel/vba work cross-functionally across the organization, effectively collaborating and communicating, in order to achieve business objectives support sales and product teams by discussing models and methodology with clients contribute to the shared learning and growth of the r&amp;d organization, leveraging creativity and discipline to efficiently solve critical business problems lead initiatives where independent research and modeling is required to pitch concepts to a broader group, knowledge and experience, qualifications/education: bachelor’s degree required experience in modeling behavior of financial instruments by either statistical and/or machine learning methods. excellent analytical, verbal and written communication skills proficient in practical applications of statistical methods and quantitative methods experience retrieving data from structured databases sql/oracle and flat csv files proficient in a general purpose programming language such as python or java with the ability to learn other languages as needed comprehensive understanding of financial markets, valuation concepts and financial products independent self-starter while being a team player with the willingness to take direction from management capable of working the hours necessary to achieve daily objectives strong communication and analytical skills to clearly express ideas and specify product or model requirements when collaborating with our development teams, core competencies, competencies are the skills and behaviors that are critical both to your personal performance and to ice’s continued success. the core competencies apply to every member of staff working for ice. teamwork, offers time and/or assistance to colleagues; is widely regarded and respected as someone to go to for help fosters friendly and cooperative relationships with others; colleagues enjoy working with the employee shares knowledge and mentors staff; works to develop others’ knowledge as well as own gives and shares credit as appropriate contributes to recruiting and training efforts of others, including candidate referrals, job interviews and mentoring attends and participates in company and department level functions inside and outside of the office, problem-solving &amp; decision-making, demonstrates an understanding of the urgent nature of our business and the need to proactively find and fix problems quickly and effectively takes ownership and follows through on decisions; doesn’t minimize or forget about problems determines and fixes root causes rather than just treating symptoms applies novel techniques to solve problems that are more ambiguous; challenges long-held beliefs when necessary quickly and effectively identifies alternative solutions and the pros/cons of each; confirms that a proposed solution has no unintended consequences takes steps to mitigate risk consults with colleagues and recommends solutions based on the best interests of customers and shareholders, even when the opinion is unpopular, communication, actively listens and speaks to, not over, others uses clear and constructive language orally and in writing communicates important developments to the relevant and appropriate audiences in a timely and consistent manner asks follow-up questions to ensure all points are understood takes time to objectively listen to all viewpoints before forming an opinion builds consensus among differing views, professionalism &amp; integrity, makes a positive impression; represents the company well on the phone and in person, including maintaining attire and appearance that is consistent with company image and appropriate for employee’s role models a ‘can-do’ attitude and takes initiative as a self-starter; inspires and motivates others to do the same embraces, rather than resists, additional responsibilities refrains from office gossip; settles rather than creates conflict with and between others exhibits desired work habits including regular office hours and extra hours when necessary while minimizing breaks and non-work related activities adheres to all corporate policies; makes prudent use of company resources"
82,"palo alto networks® is the next-generation security company, leading a new era in cybersecurity by safely enabling applications and preventing cyber breaches for tens of thousands of organizations worldwide. if you are motivated, intelligent, creative, hardworking and want to make an impact, then this job is for you!, our summer internship program may-august or june-september provides you:, 1:1 mentorship fun and engaging events that inspire your intellectual curiosity opportunities to expand your knowledge and work on challenging projects connections to other interns, recent grads, and employees across the company as well as our leaders. the palo alto networks data science team uses data science and machine learning to solve problems throughout the company. in the words of one of our members: “we develop machine learning based highly scalable solutions to address cyber security challenges.” we are looking for a talented and motivated intern that can turn into a full-time member of our team after they graduate. past projects include building a learning algorithm in hadoop, setting up a pipeline that classifies over 1m webpages a year, building a classifier to detect malicious javascript pages and upgrading a production text classification system from naïve bayes to rnns. learning opportunities:, you will learn to apply machine learning in a production environment you will be exposed to research related to security and malware. you will work on large hadoop and/or spark clusters on petabytes of data, skills:, the successful applicant should…, be an excellent programmer; experience with distributed systems like hadoop or spark a big plus have a strong working knowledge of machine learning algorithms that may include naïve bayes, decision trees, svm, logistic regression, deep learning, and boosting be comfortable working independently, be able to produce something impressive in one summer, have the ability to come up with novel solutions to difficult problems, requirements – to apply, you must be pursuing a 4-year undergraduate degree, a 2-year master’s degree or a doctorate degree and returning to school in the fall. you must have authorization to work within the united states. learn more about palo alto networks here and check out our fast facts"
83,"business partnership : translates business needs into established business goals and measures of success. delves deeply into a varying array of large data sources, determining the appropriate data for the analysis to be performed, discovering issues, identifying potential uses, and preparing for analysis. data management : works with and streamlines established data warehouses, initiates new development of databases, production data, and available tools to build strategic datasets in support of key initiatives. establishes and systematically performs processes to assess and validate data accuracy. advanced analytics: under limited supervision, ascertains and executes plans to build, implement and maintain predictive models using available tools and programming languages. monitors and provides feedback on model performance and recalibrates model as necessary. project management: independently gathers requirements from appropriate business partners for project, including necessary data for analysis to be performed. develops project plans, executes on deliverables within agreed upon timeframes, manages deadlines, communicates progress and makes recommendations to address issues. communication: communicates results and subsequent implications to peers and business partners, summarizing analysis findings, in order to build a business case. performs other duties as assigned. ability to build and maintain solid working relationships across the organization. excellent problem solving, time-management, and task prioritization skills. attention to detail, ability to multi-task and adapt quickly to change. ability to explain issues and concepts, either verbally or in writing. ability to work independently with limited supervision. team oriented and able to work well with all levels of employees. strong communication skills. able to multi-task and easily transition from one project to another. must haves at least 1 year of professional experience with a relational database management system i.e. sql at least 1 year of professional business or academic research experience in python or r with a primary focus of applying predictive analytics to very large datasets. i.e. predictive modeling, machine learning advanced degree in analytically based field, including, but not limited to, a master’s degree in applied mathematics, statistics, computer science, bioinformatics. the ability to work at our facility and maintain our regular work schedule of monday through friday, 8:00 am- 5:00 pm. the ability to perform other duties as assigned. really like to have at least 1-year of experience in the insurance or healthcare industry. phd in an advanced analytical field. education requirements, physical requirements essential to perform the duties of the job, frequently remains in sitting position for long periods of time to perform duties. frequently concentrates for long periods of time, paying close attention to detail. frequently uses and views the computer using fingers, hands, and vision. frequently works in a well-lit, tempered environment. frequently utilizes mental capabilities to identify, evaluate, and assimilate information. occasionally walks though office to communicate with other employees. seldom lifts objects with weight up to twenty-five 25 pounds such as files or paper boxes."
84,"identifying, structuring, and integrating internal and external datasets and processes to unlock the potential of the data. developing dashboards, reports, and analytical insights to support the effective delivery of health care services and improve outcomes for our members. working with the data scientist team to build foundational data plumbing at a growing company. you are eager to learn what you don’t know yet and build your own knowledge base. you’re a roll up your sleeves and jump right in kind of person. you believe that data science is a team sport. you’re fast hands on keys in finding clever solutions to problems and iterating from there. 3-5 years of total experience some experience with python and/or sql and a desire to build up your own skills in these languages. some experience with amazon web services. some experience working with diverse and messy data sets. some experience communicating data and technical analyses to non-technical audiences we are not able to provide work sponsorship or visa transfer at this time"
85,"job title: data scientist, position summary:, the data scientist will be responsible for providing data mining and analysis support to caris r&amp;d for novel diagnostic biomarker discovery, companion diagnostic test development and validation, maintaining data processing pipelines and developing/documenting analysis tools. the successful candidate will possess proficient analytical capability, solid scientific background in cancer biology or mathematics, and strong communication skills. job responsibilities:, perform statistical analysis and develop analytical tools for clinical and laboratory research data. statistical consulting in experiment design and data interpretation in technology development and biomarker discovery. statistical support for design and development of quality control process for diagnostic assays and products. manipulate and process large multi-source data sets. respond to and manage ad hoc requests to ensure accurate, in-depth results/data are delivered in a timely manner. author statistical analysis plans, protocols and reports for clinical and non-clinical evaluations. review clinical study reports for statistical content. provide general informatics support for laboratory research, technology development and clinical studies. requirements:, ph.d. with 1 - 3 years of relevant experience in bioinformatics, biostatistics, or a related field with a significant quantitative base. ability to understand scientific questions and formulate statistical and data analysis methods to provide solution to novel problems. ability to query complex data from database. proficient verbal and written communication skills to explain complex technical details in clear language. proficiency in r, python, sql, and linux. commitment to the successful achievement of team and organizational goals through a desire to participate with and help other members of the team. demonstrate a focus on listening to and understanding user needs and then delighting the customer by exceeding service and quality expectations."
86,"become one of the stars behind the show and become part of the world’s most powerful entertainment brands. our company has one exciting mission: to entertain the human race . it is the primary responsibility of advanced analytics modeler who focuses on optimization or statistics to support the executive director of advanced analytics in managing and developing analytics solutions to improve marketing and business decisions across mgm resorts international's casinos and resorts. primary role of advanced analytics modeler who focuses on optimization or statistics is to provide hands-on experience for the development of analytics models statistics models or optimization models, analytics solutions, and analytics technology integration. the successful candidate will provide ideas and solutions for the analytics team, as well as coordinate with i.t. and other marketing teams to ensure project delivery. the candidate will also provide recommendations based on analytics results. analytics process design, identify business needs and propose potential analytics approaches for solutions. develop and tune high performance analytics models solutions used by analytics team. evaluate analytics solutions and their performance. define internal business processes and information required to support those processes. troubleshoot and deploy application of analytics products. analytics models development, develop, test, and deliver statistical, segmentation, and/or optimization models to improve marketing roi. this requires experience on analytical tools such as sas enterprise guide, sas enterprise miner, r within sql or teradata environment. develop and integrate advanced analytics, predictive analytics and/or decision analytics optimizing marketing efforts. create customized tools for customer scoring, classifications, campaigns evaluation, and business evaluation reports. provide customer insights and corresponding marketing actions through statistics models, machine learning algorithm and/or optimization models. project management, utilize project management, analytical expertise to improve internal performance. manage processes and timelines to facilitate the development, deployment, and enhancements of analytics projects. collaborate with other analysts to define, communicate, and document on project development. take projects from ideation to create a solution package; complete with detailed description, business requirements, roi and operational plan; develops alternative courses of action and makes timely decisions based on logical assumptions and factual information. provide junior mentorship to analysts to lift skills around accelerated delivery of new capabilities. perform other job related duties as requested. required:, bachelor’s degree in one of the following: computer science, mis, industrial engineering, statistics or related field or comparable work experience. at least 3 years of experience with sql or teradata databases development. excellent customer service skills. have interpersonal skills to deal effectively with all business contacts. professional appearance and demeanor. work varied shifts, including weekends and holidays. high school diploma or equivalent. able to effectively communicate in english, in both written and oral forms. preferred:, master’s degree in computer science, mis, marketing research, business administrations mba, statistics, industrial engineering, statistics or related field. at least 3 years of experience in data analytics environment. previous experience managing analytics projects. previous experience working in a similar resort. #li-dr1"
87,"aggregates and analyzes data to identify behaviors and forms of recognition/motivation to drive financial benefits to employees and the company. aids/enables revenue growth, profitability, and performance management; supports dialogue with product, marketing, ld, and/or it. adheres to national measurement standards and world class sales performance reporting. designs models for behavioral and financial forecasting to reach actionable conclusions. builds trend and variability analyses, identifies correlation and/or causality, assists the proper training and usage of reports and data analysis to drive sales. prepares compelling and comprehensible visualization to assist with leadership coaching, business reviews, and strategic decision making. automates visualization process for standardization and replication. identifies and advocates for areas of improvement in data rigor, collection, use, and visualization. provides ad-hoc reporting and analysis. performs other duties as assigned. proficiency in sql mastery of ms office full suite, especially excel macros, vba, power pivot and powerpoint experience with analytics and bi tools such as r, python and tableau experience with statistical methods and models, including testing, forecasting, and modeling ability to simplify and explain complex, technical topics to a non-technical, time-constrained audience bias for action and awareness of sales-based needs in a highly competitive environment highly adaptive to changing priorities strong work ethic, ownership of delivery and attention to detail/ accuracy desire to grow in an analytics"
88,"develop, enhance and operationalize the key statistical models we use on a regular basis to understand prospect behavior to inform the development of strategic kpis. apply predictive analytics to build optimization models with minimal oversight apply statistical methodologies to large, complex data sets building projections/forecasts and articulating the methods, formulas, and assumptions building mathematical models that support business efficiency initiatives foster relationships with key cross-functional partners and internal stakeholders; establish strong partnerships to obtain desired results on behalf of the team explaining complex formulas to others who may not be experts in mathematics/ statistics. communicate findings in a business context to stakeholders at various business and technical skill levels. apply statistical techniques and mathematical skills to assess the probability of events and the financial and operational impacts to the business at an enterprise level aid in data-driven decision making paired with forward-thinking business and industry trends. participate in and prepare for sessions to identify the action-oriented hypotheses effectively communicate methodologies, insights, and recommendations to leadership create executive-level presentations and present complex analytics in a clear and concise manner partner with upstream data suppliers and analytics partners to continuously increase efficiency from raw data extraction to insights and data-driven decisions, 2+ years of progressive experience in advanced analytics required bachelor’s degree in data science, mathematics, or statistics required. master’s preferred proven experience with data mining, cleansing and manipulations, variable transformations, linear and non-linear multi-variable regression analysis, k-mean and hierarchical cluster analysis, discrete and continuous probability distributions, systems of equations and numerical analysis proven exp using the cloud to do large computations proven exp joining large data sets from various repositories proven experience with 1 or more statistical programming languages: r, python, matlab, sas. experience with queries to extract and transform data from multiple data sources, including oracle, teradata, and sql server experience utilizing excel, powerpoint, and other ms office software experience with 1 or more statistical analysis software: minitab, stata, spss, apt knowledgeable about digital, e-commerce, marketing a plus"
89,"with demand sensing, om partners is breaking through some boundaries of classical demand forecasting. the use of state of the art techniques like machine learning and neural networks allow for a step change in forecast accuracy, driving immediate value creation for our customers. by using these innovative functionalities, they are able to adjust their supply plans faster and more accurate. are you ready to join the demand driven revolution in supply chain? are you passionate about finding patterns and correlations? then apply for the position of senior data scientist and join our product development team. as a data scientist, you have only one aim: to provide innovative solutions for the customers’ challenging analytics and forecasting needs. you analyze their needs, design a prototype, develop the model and optimize your solution. you support the customer throughout the entire implementation schedule. you work in close collaboration with the customer’s project team and you consultant colleagues working on the same project. next to the project work you will be responsible for the design of solutions and the development of the products. you ensure that high-quality, well-tested and documented solutions are delivered. your challenge is to collect and formulate the business requirements and translate them into functional requirements that can easily be fed into a technical design. therefore, you work in close collaboration with the product manager and software engineers. you continuously improve the solutions and develop new functionalities. you validate these solutions and functionalities with the different stakeholders. you implement and test the developments. finally, you document the tools, and train and support your colleagues in the usage of the solution. you participate in pre-sales to demonstrate functionality that meets the prospects goals and objectives. strong analytical skills and problem solving abilities, complemented with a university degree, are indispensable in this job. you have an entrepreneurial mindset in looking for innovative solutions for our customers’ analytics and forecasting problems. you are passionate about finding patterns and looking for correlations in big datasets. you take incomplete data as a challenge and use qualitative techniques to bridge the gap. a solid background in applied statistics distributions, statistical testing, confidence intervals, machine learning, time series, … is required. you have practical experience with time series analysis and forecasting exponential smoothing, multivariate regression, arima, … to solve real-life business problems. you benefit from having experience in analyzing and implementing forecasting processes, as well as having working experience as an analyst or consultant for large multinational organizations. you are familiar with a statistical scripting language, preferably r. basic knowledge of relational databases and sql are a plus. you can present findings clearly to a non-technical audience, using different visualization techniques. you have an excellent command of at least two languages dutch, french, english or german. you are able to work autonomous and project based. om partners is a software and consulting company focused on supply chain planning . as a company we have but one mission: to optimize our customer’s supply chain. we pride ourselves on developing innovative advanced planning systems aps that meet and exceed expectations. our customer base includes leading companies in different industries, such as arcelormittal, basf, dow, johnson &amp; johnson, michelin, shaw, procter &amp; gamble and smurfit kappa. are you the right person for the challenge?"
